position,field_name,sample_value
0,SERVICEMAC LOAN NUMBER,1111111111
1,LOAN NUMBER,123450
2,INVESTOR LOAN NUMBER,12345
3,LIEN POSITION,FirstLien
4,LOAN TYPE,Conventional
5,ACQ DATE,2026-02-13 00:00:00
6,LOAN TERM,360
7,INTEREST RATE,6.875
8,NO PMTS YEAR,12
9,FIRST P-I,1418.97
10,ESCROW MONTHLY PAYMENT,624.8
11,TOTAL MONTHLY LOAN PAYMENT,2043.77
12,COUNTY MONTHLY PAYMENT,310.45
13,CITY MONTHLY PAYMENT,
14,HAZARD INSURANCE MONTHLY PAYMENT,314.35
15,MI MONTHLY PAYMENT,
16,LIEN MONTHLY PAYMENT,
17,ORIGINAL MORTGAGE AMOUNT,216000
18,CURRENT PRINCIPAL BALANCE,215818.53
19,ESCROW BALANCE,2499.2
20,SUSPENSE BALANCE,
21,LATE CHARGE BALANCE,
22,FIRST DUE DATE,2026-03-01 00:00:00
23,CURRENT DUE DATE,2026-04-01 00:00:00
24,LOAN MATURITY DATE,2056-02-01 00:00:00
25,NOTE DATE,2026-01-30 00:00:00
26,FUNDING DATE,2026-01-30 00:00:00
27,CLOSING DATE,2026-01-30 00:00:00
28,BORROWER FIRST NAME,John
29,BORROWER LAST NAME,Jones
30,BORROWER MIDDLE,
31,BORROWER SSN,123456789
32,BORROWER CREDIT SCORE,691
33,CO BORROWER FIRST NAME,
34,CO BORROWER LAST NAME,
35,CO BORROWER MIDDLE,
36,CO BORROWER SSN,
37,CO BORROWER CREDIT SCORE,
38,BORROWER 3 NAME,
39,BORROWER 4 NAME,
40,BORROWER 3 SSN,
41,BORROWER 4 SSN,
42,PROPERTY STREET ADDRESS,123 Old Way
43,PROPERTY CITY,Corsicana
44,PROPERTY STATE,TX
45,PROPERTY ZIP,12345
46,PROP ZIP CODE SUFFIX,
47,MAILING STREET ADDRESS,123 Old Way
48,MAILING CITY,Corsicana
49,MAILING STATE,TX
50,MAILING ZIP CODE,12345
51,MAILING ZIP CODE SUFFIX,
52,BORROWER HOME PRIMARY TELEPHONE NUMBER,1234567890
53,BORROWER SECOND TELEPHONE NUMBER,1234567890
54,TELEPHONE CODE,Cell
55,CO BORROWER HOME PRIMARY TELEPHONE NUMBER,
56,CO BORROWER TELEPHONE TYPE,
