InvestorLoanIdentifier,ARMRuleSequence,RuleType,NextRateAdjustmentEffectiveDate,IndexSourceType,IndexSourceTypeOtherDescription,InterestAndPaymentAdjustmentIndexLeadDaysCount,AdjustmentRuleType,PerChangeMaximumDecreaseRatePercent,PerChangeMaximumIncreaseRatePercent,PerChangeRateAdjustmentEffectiveDate,PerChangeRateAdjustmentFrequencyMonthsCount,CeilingRatePercent,FirstRateChangePaymentEffectiveDate,FloorRatePercent,InterestRateRoundingPercent,InterestRateRoundingType,MarginRatePercent,LoanNetMarginRate,LoanRequiredMarginRate
4033535621,1,RateOrPaymentChange,2031-03-01,,,,,,,,,,,,,,,,
4033535621,2,IndexRule,,Other,30DayAverageSOFR,,,,,,,,,,,,,,
4033535621,3,IndexRule,,,,45,,,,,,,,,,,,,
4033535621,4,PerChangeAdjustmentRule,,,,,First,0.02,0.02,2031-03-01,6,,,,,,,,
4033535621,5,PerChangeAdjustmentRule,,,,,Subsequent,0.01,0.01,2031-09-01,6,,,,,,,,
4033535621,6,LifetimeAdjustmentRule,,,,,,,,,,0.10375,2031-04-01,0.03,0.125,Nearest,0.03,0.0275,0.0275
4033536857,7,RateOrPaymentChange,2033-03-01,,,,,,,,,,,,,,,,
4033536857,8,IndexRule,,Other,30DayAverageSOFR,,,,,,,,,,,,,,
4033536857,9,IndexRule,,,,45,,,,,,,,,,,,,
4033536857,10,PerChangeAdjustmentRule,,,,,First,0.05,0.05,2033-03-01,6,,,,,,,,
4033536857,11,PerChangeAdjustmentRule,,,,,Subsequent,0.01,0.01,2033-09-01,6,,,,,,,,
4033536857,12,LifetimeAdjustmentRule,,,,,,,,,,0.0925,2033-04-01,0.0275,0.125,Nearest,0.0275,0.025,0.025
4033540349,13,RateOrPaymentChange,2033-03-01,,,,,,,,,,,,,,,,
4033540349,14,IndexRule,,Other,30DayAverageSOFR,,,,,,,,,,,,,,
4033540349,15,IndexRule,,,,45,,,,,,,,,,,,,
4033540349,16,PerChangeAdjustmentRule,,,,,First,0.05,0.05,2033-03-01,6,,,,,,,,
4033540349,17,PerChangeAdjustmentRule,,,,,Subsequent,0.01,0.01,2033-09-01,6,,,,,,,,
4033540349,18,LifetimeAdjustmentRule,,,,,,,,,,0.105,2033-04-01,0.0275,0.125,Nearest,0.0275,0.025,0.025
4033541468,19,RateOrPaymentChange,2031-03-01,,,,,,,,,,,,,,,,
4033541468,20,IndexRule,,Other,30DayAverageSOFR,,,,,,,,,,,,,,
4033541468,21,IndexRule,,,,45,,,,,,,,,,,,,
4033541468,22,PerChangeAdjustmentRule,,,,,First,0.02,0.02,2031-03-01,6,,,,,,,,
4033541468,23,PerChangeAdjustmentRule,,,,,Subsequent,0.01,0.01,2031-09-01,6,,,,,,,,
4033541468,24,LifetimeAdjustmentRule,,,,,,,,,,0.0975,2031-04-01,0.0275,0.125,Nearest,0.0275,0.025,0.025
4033541739,25,RateOrPaymentChange,2031-03-01,,,,,,,,,,,,,,,,
4033541739,26,IndexRule,,Other,30DayAverageSOFR,,,,,,,,,,,,,,
4033541739,27,IndexRule,,,,45,,,,,,,,,,,,,
4033541739,28,PerChangeAdjustmentRule,,,,,First,0.02,0.02,2031-03-01,6,,,,,,,,
4033541739,29,PerChangeAdjustmentRule,,,,,Subsequent,0.01,0.01,2031-09-01,6,,,,,,,,
4033541739,30,LifetimeAdjustmentRule,,,,,,,,,,0.10125,2031-04-01,0.0275,0.125,Nearest,0.0275,0.025,0.025
4033544854,31,RateOrPaymentChange,2031-02-01,,,,,,,,,,,,,,,,
4033544854,32,IndexRule,,Other,30DayAverageSOFR,,,,,,,,,,,,,,
4033544854,33,IndexRule,,,,45,,,,,,,,,,,,,
4033544854,34,PerChangeAdjustmentRule,,,,,First,0.02,0.02,2031-02-01,6,,,,,,,,
4033544854,35,PerChangeAdjustmentRule,,,,,Subsequent,0.01,0.01,2031-08-01,6,,,,,,,,
4033544854,36,LifetimeAdjustmentRule,,,,,,,,,,0.10625,2031-03-01,0.0275,0.125,Nearest,0.0275,0.025,0.025
