InvestorLoanIdentifier,PayoffPrepaymentPenaltyAmount,ProjectedPaymentEstimatedTaxesInsuranceAssessmentComponentType,ProjPayEstTaxInsAssmtCompTypOthDesc,FeeSummaryTotalAmountFinancedAmount,MIScheduledTerminationDate,ProjectedPaymentEstimatedTaxesInsuranceAssessmentTotalAmount,ProjectedPaymentMIPaymentAmount,LateChargeGracePeriodDaysCount,BuydownTemporarySubsidyIndicator,DocumentType,DocumentTypeOtherDescription,AutomatedUnderwritingCaseIdentifier
4033528965,,PropertyTaxes;HomeownersInsurance;Other,HOA,242440.73,,679.92,94.41,15,false,Other,ClosingDisclosure:ModelForm,1715685558
4033531842,,PropertyTaxes;HomeownersInsurance;Other,Homeowners Association Dues,395471.62,,380.48,126.58,15,false,Other,ClosingDisclosure:ModelForm,1717990804
4033533017,,PropertyTaxes;HomeownersInsurance,,507147.84,,593.32,0,15,false,Other,ClosingDisclosure:ModelForm,1716260121
4033533165,,PropertyTaxes;HomeownersInsurance,,334712.12,,946.57,0,15,false,Other,ClosingDisclosure:ModelForm,1712296711
4033535621,,PropertyTaxes;HomeownersInsurance,,655204,,1440.1,0,15,false,Other,ClosingDisclosure:ModelForm,1716137570
4033536439,,PropertyTaxes;HomeownersInsurance;Other,Association Dues,440939.2,2034-08-01,231.2,82.17,15,true,Other,ClosingDisclosure:BorrowerOnly,1715860595
4033536527,,PropertyTaxes;HomeownersInsurance;Other,HOA DUES,423556.16,2036-09-01,1713.92,81.94,15,false,Other,ClosingDisclosure:ModelForm,1716346680
4033536596,,PropertyTaxes;HomeownersInsurance;Other,Association Dues,326143.56,,329.03,0,15,true,Other,ClosingDisclosure:BorrowerOnly,1713840747
4033536775,,PropertyTaxes;HomeownersInsurance;Other,Association Dues,369030.44,2037-07-01,871.92,268.93,15,false,Other,ClosingDisclosure:AlternateForm,1712307522
4033536857,,HomeownersAssociationDues;HomeownersInsurance,,574674,2035-10-01,587.17,193.15,15,false,Other,ClosingDisclosure:ModelForm,1715951783
4033537998,,PropertyTaxes;HomeownersInsurance,,209087.9,,259.62,0,15,false,Other,ClosingDisclosure:ModelForm,1716128967
4033538033,,PropertyTaxes;HomeownersInsurance,,245780.47,2037-09-01,460.31,79.1,15,false,Other,ClosingDisclosure:ModelForm,1712801157
4033538041,,PropertyTaxes;HomeownersInsurance;Other,HOA Dues,345924.84,2037-09-01,487.5,139.64,15,false,Other,ClosingDisclosure:ModelForm,1713066645
4033538054,,PropertyTaxes;HomeownersInsurance;Other,HOA Dues,147371.31,,1038.87,0,15,false,Other,ClosingDisclosure:ModelForm,1715826044
4033538055,,PropertyTaxes;HomeownersInsurance,,201626.45,2036-02-01,405.4,59.79,15,false,Other,ClosingDisclosure:ModelForm,1715913223
4033538059,,PropertyTaxes;HomeownersInsurance,,312279.2,2037-10-01,433.4,105.08,15,false,Other,ClosingDisclosure:ModelForm,1715683282
4033538061,,PropertyTaxes;HomeownersInsurance,,268084.94,2037-05-01,372.87,103.79,15,false,Other,ClosingDisclosure:ModelForm,1713862875
4033538064,,PropertyTaxes;HomeownersInsurance,,181544.98,2037-09-01,515.69,35.32,15,false,Other,ClosingDisclosure:ModelForm,1715435903
4033538066,,PropertyTaxes;HomeownersInsurance,,105399.63,2034-10-01,235.4,35.39,15,false,Other,ClosingDisclosure:ModelForm,1713936755
4033538071,,PropertyTaxes;HomeownersInsurance,,122558.28,,151.75,0,15,false,Other,ClosingDisclosure:ModelForm,1714231204
4033538076,,PropertyTaxes;HomeownersInsurance,,111300.56,,316.73,0,15,false,Other,ClosingDisclosure:ModelForm,1715275772
