InvestorLoanIdentifier,EscrowItemSequence,EscrowIndicator,EscrowBalanceAmount,EscrowItemType,EscrowItemTypeOtherDescription,EscrowMonthlyPaymentAmount
4033528965,1,true,1631.76,Other,HomeownersInsurance,190.48
4033528965,2,true,1631.76,MortgageInsurance,,94.41
4033528965,3,true,1631.76,CountyPropertyTax,,353.44
4033531842,1,true,1121.18,Other,HomeownersInsurance,93.67
4033531842,2,true,1121.18,MortgageInsurance,,126.58
4033531842,3,true,1121.18,CountyPropertyTax,,249.31
4033533017,1,true,1975.46,HazardInsurance,,97.75
4033533017,2,true,1975.46,OtherTax,,495.57
4033533165,1,true,2219.54,HazardInsurance,,108.8
4033533165,2,true,2219.54,OtherTax,,837.77
4033535621,1,true,4320.3,Other,HomeownersInsurance,175.29
4033535621,2,true,4320.3,CountyPropertyTax,,1264.81
4033536439,1,true,707.63,HazardInsurance,,50.42
4033536439,2,true,707.63,MortgageInsurance,,82.17
4033536439,3,true,707.63,CountyPropertyTax,,151.61
4033536527,1,true,5295.24,Other,HomeownersInsurance,256.19
4033536527,2,true,5295.24,MortgageInsurance,,81.94
4033536527,3,true,5295.24,CountyPropertyTax,,1138.73
4033536596,1,true,599.72,HazardInsurance,,107.75
4033536596,2,true,599.72,CountyPropertyTax,,192.11
4033536775,1,true,1981.09,HazardInsurance,,35.83
4033536775,2,true,1981.09,CountyPropertyTax,,432.59
4033536857,1,true,2198.03,MortgageInsurance,,193.15
4033536857,2,true,2198.03,HazardInsurance,,77.92
4033536857,3,true,2198.03,Other,PropertyTax,444.25
4033537998,1,true,778.86,Other,HomeownersInsurance,174.58
4033537998,2,true,778.86,CountyPropertyTax,,85.04
4033538033,1,true,1611.54,Other,HomeownersInsurance,191.72
4033538033,2,true,1611.54,MortgageInsurance,,79.1
4033538033,3,true,1611.54,CountyPropertyTax,,268.59
4033538041,1,true,1495.04,Other,HomeownersInsurance,73.33
4033538041,2,true,1495.04,MortgageInsurance,,139.64
4033538041,3,true,1495.04,CountyPropertyTax,,401.67
4033538054,1,true,4772.35,Other,HomeownersInsurance,333.04
4033538054,2,true,4772.35,CountyPropertyTax,,442.83
4033538055,1,true,1216.2,Other,HomeownersInsurance,134.25
4033538055,2,true,1216.2,MortgageInsurance,,59.79
4033538055,3,true,1216.2,CountyPropertyTax,,271.15
4033538059,1,true,1544.4,Other,HomeownersInsurance,176.0
4033538059,2,true,1544.4,MortgageInsurance,,105.08
4033538059,3,true,1544.4,CountyPropertyTax,,257.4
4033538061,1,true,372.87,Other,HomeownersInsurance,239.42
4033538061,2,true,372.87,MortgageInsurance,,103.79
4033538061,3,true,372.87,CountyPropertyTax,,133.45
4033538064,1,true,515.69,Other,HomeownersInsurance,219.33
4033538064,2,true,515.69,MortgageInsurance,,35.32
4033538064,3,true,515.69,CountyPropertyTax,,296.36
4033538066,1,true,706.2,Other,HomeownersInsurance,149.0
4033538066,2,true,706.2,MortgageInsurance,,35.39
4033538066,3,true,706.2,CountyPropertyTax,,86.4
4033538071,1,true,455.25,Other,HomeownersInsurance,82.25
4033538071,2,true,455.25,CountyPropertyTax,,69.5
4033538076,1,true,316.73,Other,HomeownersInsurance,86.58
4033538076,2,true,316.73,CountyPropertyTax,,230.15
4033538100,1,true,894.4,Other,HomeownersInsurance,134.92
4033538100,2,true,894.4,CountyPropertyTax,,43.96
4033538104,1,true,1537.89,Other,HomeownersInsurance,226.17
4033538104,2,true,1537.89,MortgageInsurance,,59.39
4033538104,3,true,1537.89,CountyPropertyTax,,286.46
4033538147,1,true,383.67,Other,HomeownersInsurance,98.89
4033538147,2,true,383.67,MortgageInsurance,,12.38
4033538147,3,true,383.67,CountyPropertyTax,,29.0
4033538161,1,true,1129.86,Other,HomeownersInsurance,78.25
4033538161,2,true,1129.86,MortgageInsurance,,74.97
4033538161,3,true,1129.86,CountyPropertyTax,,188.31
4033538163,1,true,1187.91,Other,HomeownersInsurance,81.42
