InvestorLoanIdentifier,SRPPricingSequence,ExceptionPricingIndicator,FundedSRPProceeds,GrossSRPAmount,GrossSRPPercent,NetSRPAmount,NetSRPPercent,ServicerFeesDescription,ServicerFeesItemizedAmount,ServicerFees,BaseSRPAttributeAmortizationTerm,BaseSRPAttributeAmortizationType,BaseSRPAttributeLoanType,BaseSRPAdjustment,SRPHoldbackAmount,SRPHoldbackPercent,SRPAttributeAdjustment,SRPAttributeType,SRPAttributeValue,SRPGridIdentifier
4033528965,1,false,1818.58,3524.50,1.40000,3450.34,1.37054,SMP Admin Fee;Tax Cert Fees;Flood Cert Fees,0;74.16;0,74.16,360,Fixed,Conventional,1.25,0.00,0.00000,-0.0125,Debt To Income,46.0,1VKaS4pO
4033528965,2,false,1818.58,3524.50,1.40000,3450.34,1.37054,SMP Admin Fee;Tax Cert Fees;Flood Cert Fees,0;74.16;0,74.16,360,Fixed,Conventional,1.25,0.00,0.00000,,Escrow Indicator,true,1VKaS4pO
4033528965,3,false,1818.58,3524.50,1.40000,3450.34,1.37054,SMP Admin Fee;Tax Cert Fees;Flood Cert Fees,0;74.16;0,74.16,360,Fixed,Conventional,1.25,0.00,0.00000,0.175,UPB Par Spread,251750.0/0.00,1VKaS4pO
4033528965,4,false,1818.58,3524.50,1.40000,3450.34,1.37054,SMP Admin Fee;Tax Cert Fees;Flood Cert Fees,0;74.16;0,74.16,360,Fixed,Conventional,1.25,0.00,0.00000,0.05,State,FL,1VKaS4pO
4033528965,5,false,1818.58,3524.50,1.40000,3450.34,1.37054,SMP Admin Fee;Tax Cert Fees;Flood Cert Fees,0;74.16;0,74.16,360,Fixed,Conventional,1.25,0.00,0.00000,-0.0625,LTV,95.0,1VKaS4pO
4033531842,6,false,3701.49,4896.83,1.22500,4822.67,1.20645,SMP Admin Fee;Tax Cert Fees;Flood Cert Fees,0;74.16;0,74.16,360,Fixed,Conventional,1.25,0.00,0.00000,,Escrow Indicator,true,j9suwUQg
4033531842,7,false,3701.49,4896.83,1.22500,4822.67,1.20645,SMP Admin Fee;Tax Cert Fees;Flood Cert Fees,0;74.16;0,74.16,360,Fixed,Conventional,1.25,0.00,0.00000,-0.05,State,NC,j9suwUQg
4033531842,8,false,3701.49,4896.83,1.22500,4822.67,1.20645,SMP Admin Fee;Tax Cert Fees;Flood Cert Fees,0;74.16;0,74.16,360,Fixed,Conventional,1.25,0.00,0.00000,0.0875,UPB Par Spread,399741.0/0.375,j9suwUQg
4033531842,9,false,3701.49,4896.83,1.22500,4822.67,1.20645,SMP Admin Fee;Tax Cert Fees;Flood Cert Fees,0;74.16;0,74.16,360,Fixed,Conventional,1.25,0.00,0.00000,-0.0625,LTV,95.0,j9suwUQg
4033533017,10,false,3108.78,5158.40,1.00750,5084.24,0.99302,SMP Admin Fee;Tax Cert Fees;Flood Cert Fees,0;74.16;0,74.16,360,Fixed,Conventional,1.25,0.00,0.00000,,Escrow Indicator,true,j9suwUQg
