position,field_name,sample_value
0,armadjustments.InvestorLoanIdentifier,4033535621
1,armadjustments.ARMRuleSequence,1
2,armadjustments.RuleType,RateOrPaymentChange
3,armadjustments.NextRateAdjustmentEffectiveDate,2031-03-01
4,armadjustments.IndexSourceType,Other
5,armadjustments.IndexSourceTypeOtherDescription,30DayAverageSOFR
6,armadjustments.InterestAndPaymentAdjustmentIndexLeadDaysCount,45
7,armadjustments.AdjustmentRuleType,First
8,armadjustments.PerChangeMaximumDecreaseRatePercent,0.02
9,armadjustments.PerChangeMaximumIncreaseRatePercent,0.02
10,armadjustments.PerChangeRateAdjustmentEffectiveDate,2031-03-01
11,armadjustments.PerChangeRateAdjustmentFrequencyMonthsCount,6
12,armadjustments.CeilingRatePercent,0.10375
13,armadjustments.FirstRateChangePaymentEffectiveDate,2031-04-01
14,armadjustments.FloorRatePercent,0.03
15,armadjustments.InterestRateRoundingPercent,0.125
16,armadjustments.InterestRateRoundingType,Nearest
17,armadjustments.MarginRatePercent,0.03
18,armadjustments.LoanNetMarginRate,0.0275
19,armadjustments.LoanRequiredMarginRate,0.0275
20,documents.InvestorLoanIdentifier,4033528965
21,documents.PayoffPrepaymentPenaltyAmount,
22,documents.ProjectedPaymentEstimatedTaxesInsuranceAssessmentComponentType,PropertyTaxes;HomeownersInsurance;Other
23,documents.ProjPayEstTaxInsAssmtCompTypOthDesc,HOA
24,documents.FeeSummaryTotalAmountFinancedAmount,242440.73
25,documents.MIScheduledTerminationDate,2034-08-01
26,documents.ProjectedPaymentEstimatedTaxesInsuranceAssessmentTotalAmount,679.92
27,documents.ProjectedPaymentMIPaymentAmount,94.41
28,documents.LateChargeGracePeriodDaysCount,15
29,documents.BuydownTemporarySubsidyIndicator,false
30,documents.DocumentType,Other
31,documents.DocumentTypeOtherDescription,ClosingDisclosure:ModelForm
32,documents.AutomatedUnderwritingCaseIdentifier,1715685558
33,escrow.InvestorLoanIdentifier,4033528965
34,escrow.EscrowItemSequence,1
35,escrow.EscrowIndicator,true
36,escrow.EscrowBalanceAmount,1631.76
37,escrow.EscrowItemType,Other
38,escrow.EscrowItemTypeOtherDescription,HomeownersInsurance
39,escrow.EscrowMonthlyPaymentAmount,190.48
40,main.InvestorLoanIdentifier,4033528965
41,main.AddressLineText,3825 LAUREL VIEW DR
42,main.AddressUnitDesignatorType,Condo
43,main.AddressUnitIdentifier,302
44,main.CityName,KISSIMMEE
45,main.CountyName,OSCEOLA COUNTY
46,main.PostalCode,34744
47,main.StateCode,FL
48,main.SpecialFloodHazardAreaIndicator,false
49,main.MSAIdentifier,"""ORLANDO-KISSIMMEE-SANFORD"
50,main.CondominiumProjectStatusType,"FL METROPOLITAN STATISTICAL AREA"""
51,main.FNMCondominiumProjectManagerProjectIdentifier,Established
52,main.ProjectAttachmentType,636825
53,main.ProjectClassificationIdentifier,Detached
54,main.ProjectDesignType,E
55,main.ProjectDwellingUnitCount,MidriseProject
56,main.ProjectDwellingUnitsSoldCount,84
57,main.ProjectLegalStructureType,1
58,main.ProjectName,Condominium
59,main.PUDIndicator,SPRINGLAKE VILLAGE
60,main.AttachmentType,true
61,main.ConstructionMethodType,Detached
62,main.FinancedUnitCount,SiteBuilt
63,main.PropertyEstateType,1
64,main.PropertyFloodInsuranceIndicator,FeeSimple
65,main.PropertyStructureBuiltYear,false
66,main.PropertyUsageType,2002
67,main.BedroomCount,PrimaryResidence
68,main.AppraisalIdentifier,3;3
69,main.PropertyValuationAmount,110252E3DH
70,main.PropertyValuationEffectiveDate,365000.0
71,main.PropertyValuationFormType,2026-01-19
72,main.PropertyValuationMethodType,UniformResidentialAppraisalReport
73,main.CombinedLTVRatioPercent,FullAppraisal
74,main.@LoanRoleType,0.95
75,main.LoanAmortizationPeriodCount,SubjectLoan;SubjectLoan
76,main.LoanAmortizationPeriodType,360
77,main.LoanAmortizationType,Month
78,main.BuydownContributorType,Fixed
79,main.BuydownChangeFrequencyMonthsCount,Borrower
80,main.BuydownDurationMonthsCount,12
81,main.BuydownIncreaseRatePercent,24
82,main.BuydownInitialDiscountPercent,0.01
83,main.OtherFundsCollectedAtClosingAmount,2.0
84,main.OtherFundsCollectedAtClosingType,9809.04
85,main.OtherFundsCollectedAtClosingTypeOtherDescription,Other
86,main.EscrowBalanceAmount,Buydown
87,main.BorrowerPaidDiscountPointsTotalAmount,1631.76
88,main.PurchasePriceAmount,4531.5
89,main.HMDA_HOEPALoanStatusIndicator,265000.0
90,main.HMDARateSpreadPercent,false
91,main.InterestCalculationPeriodType,0.82
92,main.InterestCalculationType,Month
93,main.InvestorFeatureIdentifier,Simple
94,main.LoanAcquisitionDate,127;180
95,main.LoanAgreementAssociationEffectiveDate,2026-02-24
96,main.SRPPricingAsOfDate,2026-02-13
97,main.GuarantyFeePercent,2026-02-23
98,main.InvestorCollateralProgramIdentifier,
99,main.InvestorOwnershipPercent,ValueAcceptance
