position,field_name,sample_value
0,Export Created Date Time,02/23/2026 22:14:57
1,Combined LTV Ratio Percent,51.0
2,Home Equity Combined LTV Ratio Percent,84.0
3,Aggregate Loan Curtailment Amount - Current,100.00
4,Balloon Reset Indicator - Current,
5,Convertible Status Type - Current,
6,Current Accrued Interest Amount - Current,
7,Current Interest Rate Percent - Current,
8,Delinquent Payments Over Past Twelve Months Count - Current,0
9,Escrow Balance Amount - Current,4746.72
10,Escrow Item Type 1 - Current,HomeownersInsurance
11,Escrow Item Type 2 - Current,CountyPropertyTax
12,Escrow Item Type 3 - Current,CountyPropertyTax
13,Escrow Item Type 4 - Current,SchoolPropertyTax
14,Escrow Item Type 5 - Current,SchoolPropertyTax
15,Escrow Item Type 6 - Current,
16,Escrow Item Type 7 - Current,
17,Escrow Item Type 8 - Current,
18,Escrow Item Type 9 - Current,
19,Escrow Item Type 10 - Current,
20,Escrow Item Type 11 - Current,
21,Escrow Item Type 12 - Current,
22,Escrow Monthly Payment Amount 1 - Current,167.34
23,Escrow Monthly Payment Amount 2 - Current,2206.02
24,Escrow Monthly Payment Amount 3 - Current,306.00
25,Escrow Monthly Payment Amount 4 - Current,285.45
26,Escrow Monthly Payment Amount 5 - Current,103.20
27,Escrow Monthly Payment Amount 6 - Current,
28,Escrow Monthly Payment Amount 7 - Current,
29,Escrow Monthly Payment Amount 8 - Current,
30,Escrow Monthly Payment Amount 9 - Current,
31,Escrow Monthly Payment Amount 10 - Current,
32,Escrow Monthly Payment Amount 11 - Current,
33,Escrow Monthly Payment Amount 12 - Current,
34,Guarantee Fee Add On Indicator - Current,
35,Investor Collateral Program Identifier - Current,PropertyDataCollection
36,Investor Contract Identifier,40495790
37,Investor Feature Identifier 1 - Current,H99
38,Investor Feature Identifier 2 - Current,
39,Investor Feature Identifier 3 - Current,
40,Investor Feature Identifier 4 - Current,
41,Investor Feature Identifier 5 - Current,
42,Investor Feature Identifier 6 - Current,
43,Investor Feature Identifier 7 - Current,
44,Investor Feature Identifier 8 - Current,
45,Investor Feature Identifier 9 - Current,
46,Investor Feature Identifier 10 - Current,
47,Investor Ownership Percent - Current,100.0
48,Last Paid Installment Due Date - Current,03/01/2026
49,Last Payment Received Date - Current,
50,Lender Paid MI Interest Rate Adjustment Percent - Current,
51,Loan Acquisition Scheduled UPB Amount - Current,905500.0
52,Loan Buyup Buydown Basis Point Number - Current,
53,Loan Buyup Buydown Type - Current,
54,Loan Program Identifier 1 - Current,HomePossibleMortgage
55,Loan Program Identifier 2 - Current,
56,Loan Program Identifier 3 - Current,
57,Loan Program Identifier 4 - Current,
58,Loan Program Identifier 5 - Current,
59,MERS MIN Identifier,100279300072600089
60,MI Certificate Identifier - Current,1001674172
61,MI Company Name Type - Current,NMI
62,MI Coverage Percent - Current,35
63,MI Premium Financed Amount - Current,
64,MI Premium Financed Indicator - Current,false
65,MI Premium Source Type - Current,Borrower
66,Mortgage Modification Indicator - Current,false
67,Next Rate Adjustment Effective Date - Current,
68,Primary MI Absence Reason Type - Current,NoMIBasedOnOriginalLTV
69,Principal And Interest Payment Amount - Current,
70,Refinance Program Identifier - Current,TexasEquity
71,Seller Loan Identifier,001719709
72,Servicer Loan Identifier,6011203030
73,Universal Loan Identifier - Current,549300KIOYNU323LVJ3700171970908
74,UPB Amount - Current,905500.0
75,Warehouse Lender Indicator - Current,true
76,Adjustment Rule Type 1 - Interest Rate Per Change - AtClosing,
77,Adjustment Rule Type 2 - Interest Rate Per Change - AtClosing,
78,Application Received Date - AtClosing,01/08/2026
79,Assumability Indicator - AtClosing,false
80,Automated Underwriting Case Identifier - AtClosing,1716216191
81,Automated Underwriting Recommendation Description - AtClosing,ApproveEligible
82,Automated Underwriting System Type - AtClosing,DesktopUnderwriter
83,Balloon Indicator - AtClosing,false
84,Base LTV Ratio Percent - AtClosing,50.306
85,Biweekly Comparable Monthly Maturity Date - AtClosing,
86,Borrower Count - AtClosing,2
87,Borrower Paid Discount Points Total Amount - AtClosing,136.96
88,Borrower Reserves Monthly Payment Count - AtClosing,4
89,Buydown Change Frequency Months Count - AtClosing,12
90,Buydown Contributor Type - AtClosing,InterestedThirdParty
91,Buydown Duration Months Count - AtClosing,24
92,Buydown Increase Rate Percent - AtClosing,1.0
93,Buydown Initial Discount Percent - AtClosing,2.0
94,Buydown Temporary Subsidy Indicator - AtClosing,false
