position,field_name,sample_value
0,Loan Number,123456
1,Sub Servicer Loan Number,1111111111
2,Lien Position,First Lien
3,Loan Type,Conventional
4,Acq Date,
5,Loan Term,360
6,Interest Rate,6.125
7,No Pmts Year,12
8,First P-I,987.67
9,ESCROW MONTHLY PAYMENT,269.72
10,TOTAL MONTHLY LOAN PAYMENT,1257.39
11,Expenses Proposed Taxes,96.80
12,CITY MONTHLY PAYMENT,0
13,Fees Flood Ins Per Mo,0
14,EARTHQUAKE MONTHLY PAYMENT,0
15,Expenses Proposed Haz Ins,172.92
16,Expenses Proposed Mtg Ins,
17,LIEN MONTHLY PAYMENT,
18,ORIGINAL MORTGAGE AMOUNT,162550
19,CURRENT PRINCIPAL BALANCE,162550
20,ESCROW BALANCE,1078.88
21,SUSPENSE BALANCE,
22,LATE CHARGE BALANCE,
23,FIRST DUE DATE,46113
24,CURRENT DUE DATE,46113
25,LOAN MATURITY DATE,57040
26,Note Date,46059
27,FUNDING,46064
28,CLOSING DATE,46059
29,BORROWER FIRST NAME,John
30,BORROWER LAST NAME,Jones
31,BORROWER MIDDLE NAME,L
32,BORROWER SSN,123-45-6789
33,BORROWER CREDIT SCORE,790
34,CO BORROWER FIRST NAME,
35,CO BORROWER LAST NAME,
36,CO MIDDLE FIRST NAME,
37,CO BORROWER SSN,
38,CO BORROWER CREDIT SCORE,9999
39,BORROWER 3 FIRST NAME,
40,BORROWER 3 LAST NAME,
41,BORROWER 3 MIDDLE NAME,
42,BORROWER 3 SSN,
43,BORROWER 4 FIRST NAME,
44,BORROWER 4 LAST NAME,
45,BORROWER 4 MIDDLE NAME,
46,BORROWER 4 SSN,
47,PROPERTY STREET ADDRESS,123 Old way
48,PROPERTY CITY,East Chicago
49,PROPERTY STATE,IN
50,PROPERTY ZIP,12345-0000
51,PROP ZIP CODE SUFFIX,
52,MAILING STREET ADDRESS,123 Old Way
53,MAILING CITY,East Chicago
54,MAILING STATE,IN
55,MAILING ZIP CODE,12345-0000
56,MAILING ZIP CODE SUFFIX,
57,BORROWER HOME PRIMARY TELEPHONE NUMBER,123-456-7890
58,BORROWER WORK NUMBER,123-456-7890
59,BORROWER CELL PHONE NUMBER,123-456-7890
60,CO BORROWER HOME PRIMARY TELEPHONE NUMBER,
61,CO BORROWER WORK NUMBER,
62,CO BORROWER CELL PHONE NUMBER,
63,BORROWER 3 HOME PRIMARY TELEPHONE NUMBER,
64,BORROWER 4 HOME PRIMARY TELEPHONE NUMBER,
65,BORROWER EMAIL ADDRESS,johnjones@gmail.com
66,CO BORROWER EMAIL ADDRESS,
67,ADDITIONAL MORTGAGOR FIRST NAME,
68,ADDITIONAL MORTGAGOR LAST NAME,
69,ADDITIONAL MORTGAGOR MIDDLE INITIAL,
70,ADDITIONAL MORTGAGOR FIRST NAME 2,
71,ADDITIONAL MORTGAGOR LAST NAME 2,
72,ADDITIONAL MORTGAGOR MIDDLE INITIAL 2,
73,PREPAY PENALTY IND,N
74,PREPAY PENALTY DESCRIPTION,
75,INTEREST ONLY FLAG,N
76,INTEREST ONLY PERIOD,
77,BILL MODE,
78,ORIGINAL APPRAISED VALUE,235000
79,ORIGINAL APPRAISAL DATE,46035
80,CURRENT APPRAISED VALUE,235000
81,CURRENT APPRAISED DATE,46035
82,LAND ONLY APPRAISED VALUE,
83,MERS MIN NUMBER,101044800000325545
84,MERS REGISTRATION DATE,46064
85,MERS REGISTRATION FLAG,X
86,MERS MOM INDICATOR,Y
87,PREPAID INTEREST,497.81
88,POINTS PAID BY BORROWER,2641.44
89,LATE CHARGE CODE,
90,LATE CHARGE PERCENTAGE,5
91,LATE CHARGE MAX DOLLAR AMOUNT,0
92,LATE CHARGE MIN DOLLAR AMOUNT,0
93,GRACE DAYS,15
94,ESCROW CUSHION,
95,IBM STATE CODE,18
96,IBM COUNTY CODE,089
97,OCCUPY CODE,PrimaryResidence
98,PURCHASE PRICE,0
99,CENSUS TRACT,0304.00
100,SMSA CODE,
101,PROPERTY TYPE,2-4 Units
102,PROP TYPE,2-4 Units
103,NUMBER OF UNITS,2
104,LOAN PURPOSE,Cash-Out Refinance
105,CLASS CODE,G_NotInAProjectOrDev
106,FLOOD REQUIRED FLAG,
107,FLOOD PROGRAM,NFIP
108,FLOOD DETERMINATION DATE,46013
109,FLOOD MAP COMMUNITY NUMBER,180130
110,FLOOD PANEL NUMBER,0038F
111,FLOOD SUFFIX,
112,FLOOD ZONE,X
113,FLOOD MAP DATE,44952
114,FLOOD CERT NUMBER,17321767
115,FLOOD CMPCO,Corelogic
116,PMI MIP GUAR CERT NO,
117,PMI MIP PERCENT OF COVERAGE,0
118,PMI RATE PERCENTAGE,0
119,PMI MIP PAYEE COMPANY,
120,PMI MIP TERM,
121,PMI MIP DISBURSEMENT DUE DATE,46113
122,PMI MIP DISBURSEMENT AMOUNT,
123,PMI MIP BILL CODE,4
