position,field_name,sample_value
0,SERVICEMAC LOAN NUMBER,
1,LOAN NUMBER,
2,INVESTOR LOAN NUMBER,
3,LIEN POSITION,
4,LOAN TYPE,
5,ACQ DATE,
6,LOAN TERM,
7,INTEREST RATE,
8,NO PMTS YEAR,
9,FIRST P-I,
10,ESCROW MONTHLY PAYMENT,
11,TOTAL MONTHLY LOAN PAYMENT,
12,COUNTY MONTHLY PAYMENT,
13,CITY MONTHLY PAYMENT,
14,HAZARD INSURANCE MONTHLY PAYMENT,
15,MI MONTHLY PAYMENT,
16,FLOOD MONTHLY PAYMENT,
17,LIEN MONTHLY PAYMENT,
18,ORIGINAL MORTGAGE AMOUNT,
19,CURRENT PRINCIPAL BALANCE,
20,ESCROW BALANCE,
21,SUSPENSE BALANCE,
22,LATE CHARGE BALANCE,
23,FIRST DUE DATE,
24,CURRENT DUE DATE,
25,LOAN MATURITY DATE,
26,NOTE DATE,
27,FUNDING DATE,
28,CLOSING DATE,
29,BORROWER FIRST NAME,
30,BORROWER LAST NAME,
31,BORROWER MIDDLE,
32,BORROWER SSN,
33,BORROWER CREDIT SCORE,
34,CO BORROWER FIRST NAME,
35,CO BORROWER LAST NAME,
36,CO BORROWER MIDDLE,
37,CO BORROWER SSN,
38,CO BORROWER CREDIT SCORE,
39,BORROWER 3  FIRST NAME,
40,BORROWER 3 LAST NAME,
41,BORROWER 3 MIDDLE NAME,
42,BORROWER 4 FIRST NAME,
43,BORROWER 4 LAST NAME,
44,BORROWER 4 MIDDLE NAME,
45,BORROWER 3 SSN,
46,BORROWER 3 DATE OF BIRTH,
47,BORROWER 4 SSN,
48,BORROWER 4 DATE OF BIRTH,
49,PROPERTY STREET ADDRESS,
50,PROPERTY CITY,
51,PROPERTY STATE,
52,PROPERTY ZIP,
53,PROP ZIP CODE SUFFIX,
54,MAILING STREET ADDRESS,
55,MAILING CITY,
56,MAILING STATE,
57,MAILING ZIP CODE,
58,MAILING ZIP CODE SUFFIX,
59,BORROWER HOME PRIMARY TELEPHONE NUMBER,
60,BORROWER SECOND TELEPHONE NUMBER,
61,TELEPHONE CODE,
62,CO BORROWER HOME PRIMARY TELEPHONE NUMBER,
63,CO BORROWER TELEPHONE TYPE,
64,BORROWER 3 HOME PRIMARY TELEPHONE NUMBER,
65,BORROWER EMAIL ADDRESS,
66,CO BORROWER EMAIL ADDRESS,
67,PREPAY PENALTY IND,
68,PREPAY PENALTY DESCRIPTION,
69,INTEREST ONLY FLAG,
70,INTEREST ONLY EXPIRATION DATE,
71,BILL MODE,
72,ORIGINAL APPRAISED VALUE,
73,ORIGINAL APPRAISAL DATE,
74,CURRENT APPRAISED VALUE,
75,CURRENT APPRAISED DATE,
76,LAND ONLY APPRAISED VALUE,
77,MERS MIN NUMBER,
78,MERS REGISTRATION DATE,
79,MERS REGISTRATION FLAG,
80,MERS MOM INDICATOR,
81,PREPAID INTEREST,
82,POINTS PAID BY BORROWER,
83,LATE CHARGE CODE,
84,LATE CHARGE PERCENTAGE,
85,LATE CHARGE MAX DOLLAR AMOUNT,
86,LATE CHARGE MIN DOLLAR AMOUNT,
87,GRACE DAYS,
88,ESCROW CUSHION,
89,IBM STATE CODE,
90,IBM COUNTY CODE,
91,OCCUPY CODE,
92,PURCHASE PRICE,
93,CENSUS TRACT,
94,SMSA CODE,
95,PROPERTY TYPE,
96,PROP TYPE,
97,NUMBER OF UNITS,
98,LOAN PURPOSE,
99,CLASS CODE,
100,FLOOD REQUIRED FLAG,
101,FLOOD PROGRAM,
102,FLOOD DETERMINATION DATE,
103,FLOOD MAP COMMUNITY NUMBER,
104,FLOOD PANEL NUMBER,
105,FLOOD SUFFIX,
106,FLOOD ZONE,
107,FLOOD MAP DATE,
108,FLOOD CERT NUMBER,
109,FLOOD CMPCO,
110,PMI MIP GUAR CERT NO,
111,PMI MIP PERCENT OF COVERAGE,
112,PMI RATE PERCENTAGE,
113,PMI MIP PAYEE COMPANY,
114,PMI MIP TERM,
115,PMI MIP DISBURSEMENT DUE DATE,
