field_name,entity_type,data_type,requirement_type,requirement_detail,source_file
assumable,LOAN,BooleanDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),loan_fields.py
auto_pay_transferred,LOAN,BooleanDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),loan_fields.py
bankruptcy_case_number,BANKRUPTCY,NonDecimalStringDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),bankruptcy_fields.py
bankruptcy_chapter,BANKRUPTCY,LiteralDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),bankruptcy_fields.py
bankruptcy_court_division,BANKRUPTCY,IntDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),bankruptcy_fields.py
bankruptcy_court_state,BANKRUPTCY,LiteralDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),bankruptcy_fields.py
bankruptcy_date_filed,BANKRUPTCY,DateDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),bankruptcy_fields.py
bankruptcy_is_asset_case,BANKRUPTCY,BooleanDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),bankruptcy_fields.py
borrower_entity_first_name,BORROWER,StringDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),borrower_fields.py
borrower_entity_is_deceased,BORROWER,BooleanDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),borrower_fields.py
borrower_entity_is_primary,BORROWER,BooleanDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),borrower_fields.py
borrower_entity_last_name,BORROWER,StringDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),borrower_fields.py
borrower_entity_mailing_address_1,BORROWER,StringDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),borrower_fields.py
borrower_entity_mailing_city,BORROWER,StringDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),borrower_fields.py
borrower_entity_mailing_state,BORROWER,LiteralDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),borrower_fields.py
borrower_entity_mailing_zipcode,BORROWER,StringDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),borrower_fields.py
borrower_entity_tax_id,BORROWER,StringDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),borrower_fields.py
borrower_entity_tax_id_type,BORROWER,LiteralDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),borrower_fields.py
borrower_entity_type,BORROWER,LiteralDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),borrower_fields.py
borrower_first_name,LOAN,StringDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),loan_borrower_fields.py
borrower_last_name,LOAN,StringDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),loan_borrower_fields.py
borrower_mailing_address_1,LOAN,StringDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),loan_borrower_fields.py
borrower_mailing_city,LOAN,StringDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),loan_borrower_fields.py
borrower_mailing_state,LOAN,LiteralDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),loan_borrower_fields.py
borrower_mailing_zipcode,LOAN,StringDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),loan_borrower_fields.py
borrower_tax_id_type,LOAN,LiteralDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),loan_borrower_fields.py
borrower_type,LOAN,LiteralDataDictField,ALWAYS_REQUIRED,BooleanRequired(True),loan_borrower_fields.py
